,SR,UR,MR,DR
1956,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,40.0
1959,0.0,2.16,0.0,0.0
1960,0.0,0.0,0.0,60.168
1961,0.0,0.0,7.23,0.0
1962,0.0,2.57,0.0,0.0
1963,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,13.2
1966,0.0,0.0,0.0,2.21
1967,0.0,7.35,0.0,0.0
1968,0.0,57.0,0.0,0.0
1969,0.0,0.0,0.0,0.0
1970,0.0,0.0,2.25,0.0
1971,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0
1975,0.0,2.38,0.0,0.0
1976,0.0,0.0,0.74,0.0
1977,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0
1979,0.0,0.0,3.89,0.0
1980,0.0,0.49,0.0,0.0
1981,0.0,0.0,0.0,0.0
1982,0.22,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0
1986,247.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0
1991,0.0,0.0,2.03,0.0
1992,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,11.75
1994,0.0,0.0,1.47,0.0
1995,0.0,0.0,0.0,0.0
1996,0.0,0.9,0.0,0.0
1997,16.5,0.0,0.0,0.0
1998,0.0,0.0,8.96,0.0
1999,0.0,0.0,0.0,0.0
2000,0.0,0.0,1.1,127.305
2001,25.01,0.0,0.0,0.0
2002,1.98,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0
2004,6.2,0.74,0.0,0.0
2005,0.609,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0
2007,0.28800000000000003,0.0,0.0,1.62
2008,0.0,0.7162,0.0,0.0
2009,10.56,0.0,1.96,0.0
2010,2.7885,0.0,0.0,0.0
2011,0.0,0.0,3.17,0.0
2012,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0
2016,0.59,0.0,0.0,0.0
