,年,亿立方米,名称,亿立方米.1,名称.1,亿立方米.2,名称.2,亿立方米.3,名称.3
0,1956,,,,,,,,
1,1957,,,,,,,,
2,1958,40.0,东平湖围堤,,,,,,
3,1959,2.16,盐锅峡,,,,,,
4,1960,0.168,红领巾水库,1.1,卧虎山水库,58.9,三门峡,,
5,1961,7.23,汾河水库,0.8,三盛公枢纽,,,,
6,1962,2.57,巴家嘴水库,,,,,,
7,1963,,,,,,,,
8,1964,,,,,,,,
9,1965,13.2,陆浑水库,,,,,,
10,1966,2.21,雪野水库,,,,,,
11,1967,7.35,青铜峡,,,,,,
12,1968,57.0,刘家峡,,,,,,
13,1969,,,,,,,,
14,1970,1.2,羊毛湾水库,1.05,文峪河水库,,,,
15,1971,,,,,,,,
16,1972,,,,,,,,
17,1973,,,,,,,,
18,1974,,,,,,,,
19,1975,2.38,巴家嘴水库,,,,,,
20,1976,0.74,天桥水电站,,,,,,
21,1977,,,,,,,,
22,1978,,,,,,,,
23,1979,3.89,冯家山水库,,,,,,
24,1980,0.49,八盘峡水电站,,,,,,
25,1981,,,,,,,,
26,1982,0.22,东大滩水库,,,,,,
27,1983,,,,,,,,
28,1984,,,,,,,,
29,1985,,,,,,,,
30,1986,247.0,龙羊峡水电站,,,,,,
31,1987,,,,,,,,
32,1988,,,,,,,,
33,1989,,,,,,,,
34,1990,,,,,,,,
35,1991,2.03,王瑶水库,,,,,,
36,1992,,,,,,,,
37,1993,11.75,故县水库,,,,,,
38,1994,1.47,石头河水库,,,,,,
39,1995,,,,,,,,
40,1996,6.4,克孜尔水库,0.9,大峡水电站,,,,
41,1997,16.5,李家峡水电站,,,,,,
42,1998,8.96,万家寨水利枢纽工程,,,,,,
43,1999,,,,,,,,
44,2000,0.46,济南鹊山引黄调蓄水库,0.345,山东博兴纯化水库,126.5,小浪底水利枢纽,1.1,汾河二库水利枢纽
45,2001,25.01,黄河源水电站,,,,,,
46,2002,0.17,尼那水电站,1.81,黑泉水利枢纽工程,,,,
47,2003,,,,,,,,
48,2004,0.26,黄河沙坡头水利枢纽工程,6.2,公伯峡水电站,0.48,小峡水电站,,
49,2005,0.455,苏只水电站,0.154,直岗拉卡水电站,,,,
50,2006,,,,,,,,
51,2007,1.62,西霞院反调节水库,0.28800000000000003,康扬水电站,,,,
52,2008,0.2368,乌金峡水电站,0.4794,寺沟峡水电站,,,,
53,2009,1.96,黄河龙口水利枢纽,10.56,拉西瓦水电站,,,,
54,2010,2.635,积石峡水电站,0.1535,班多水电站,,,,
55,2011,3.17,沁河河口村水库,,,,,,
56,2012,,,,,,,,
57,2013,,,,,,,,
58,2014,,,,,,,,
59,2015,,,,,,,,
60,2016,0.59,黄丰水电站,,,,,,
