,年份,省份,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
0,2003,青海,取水量,15.49,12.44,1.88,0.74,0.0,0.43,0.0,3.34,0.18,0.0,1.83,0.38,0.85,0.1
1,2003,青海,耗水量,10.89,8.58,1.55,0.48,0.0,0.28,0.0,1.38,0.15,0.0,0.62,0.12,0.41,0.08
2,2003,四川,取水量,0.28,0.1,0.09,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2003,四川,耗水量,0.25,0.1,0.09,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2003,甘肃,取水量,37.77,21.15,1.93,10.86,0.91,2.8,0.12,7.01,2.86,0.57,1.96,0.22,1.38,0.02
5,2003,甘肃,耗水量,29.17,16.92,1.65,7.63,0.76,2.1,0.11,4.67,2.4,0.48,66.0,0.13,0.99,0.01
6,2003,宁夏,取水量,59.63,48.38,7.8,2.85,0.0,0.25,0.35,6.46,1.9,0.66,2.5,0.31,1.0,0.09
7,2003,宁夏,耗水量,35.59,26.23,6.79,2.15,0.0,0.07,0.35,3.47,1.59,0.55,0.75,0.06,0.48,0.04
8,2003,内蒙古,取水量,57.58,50.03,4.72,1.84,0.06,0.63,0.3,23.06,13.9,2.57,4.03,0.64,1.92,0.0
9,2003,内蒙古,耗水量,50.46,43.98,4.21,1.48,0.06,0.43,0.3,19.02,12.16,2.24,3.01,0.39,1.22,0.0
10,2003,陕西,取水量,22.46,14.15,2.35,2.92,0.6,1.63,0.81,29.86,12.96,2.62,8.21,0.86,4.81,0.4
11,2003,陕西,耗水量,18.73,12.42,2.0,1.9,0.54,1.06,0.81,18.73,10.93,2.21,2.33,0.3,2.56,0.4
12,2003,山西,取水量,11.17,8.08,0.53,1.8,0.2,0.52,0.04,24.09,12.23,1.02,6.31,1.12,3.23,0.18
13,2003,山西,耗水量,9.6,7.33,0.48,1.23,0.18,0.34,0.04,18.73,10.27,0.86,4.54,0.51,2.37,0.18
14,2003,河南,取水量,30.2,22.49,0.45,4.46,0.61,1.8,0.39,29.07,17.04,1.42,6.28,0.36,3.24,0.73
15,2003,河南,耗水量,28.25,21.61,0.37,3.73,0.59,1.61,0.34,19.43,14.0,1.15,1.77,0.05,2.1,0.36
16,2003,山东,取水量,51.4,43.13,0.49,4.87,0.83,1.97,0.11,10.19,5.96,0.88,2.05,0.13,1.14,0.03
17,2003,山东,耗水量,50.57,42.72,0.45,4.61,0.83,1.86,0.1,7.45,4.88,0.72,0.93,0.09,0.81,0.02
18,2003,合计,取水量,296.04,220.05,20.24,33.39,3.71,12.07,6.58,133.08,67.03,9.74,33.17,4.02,17.57,1.55
19,2003,合计,耗水量,248.97,179.99,17.59,26.24,3.46,9.78,6.51,92.88,56.38,8.21,14.61,1.65,10.94,1.09
20,2004,青海,取水量,14.95,12.45,1.87,0.2,0.0,0.43,0.0,4.35,0.18,0.0,2.82,0.39,0.86,0.1
21,2004,青海,耗水量,10.62,8.63,1.58,0.13,0.0,0.28,0.0,1.91,0.16,0.0,1.13,0.16,0.38,0.08
22,2004,四川,取水量,0.29,0.09,0.1,0.05,0.01,0.04,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
23,2004,四川,耗水量,0.26,0.09,0.1,0.03,0.01,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
24,2004,甘肃,取水量,37.81,21.16,2.1,10.56,0.96,2.91,0.12,7.17,2.86,0.6,2.03,0.23,1.43,0.02
25,2004,甘肃,耗水量,29.33,17.11,1.79,7.34,0.81,2.17,0.11,4.77,2.41,0.5,0.69,0.14,1.02,0.01
26,2004,宁夏,取水量,68.98,57.95,9.59,0.96,0.0,0.16,0.32,5.37,0.71,0.67,2.46,0.36,1.07,0.1
27,2004,宁夏,耗水量,37.67,28.67,8.08,0.46,0.0,0.14,0.32,2.79,0.59,0.56,0.83,0.11,0.65,0.05
28,2004,内蒙古,取水量,67.01,57.58,5.01,3.65,0.23,0.44,0.1,23.57,15.85,2.69,2.71,0.67,1.42,0.23
29,2004,内蒙古,耗水量,56.39,49.03,3.61,2.98,0.23,0.44,0.1,19.52,13.87,2.33,1.87,0.43,0.83,0.19
30,2004,陕西,取水量,24.92,16.68,2.45,2.87,0.62,1.88,0.42,29.2,12.43,2.56,7.9,1.17,4.95,0.19
31,2004,陕西,耗水量,20.91,14.69,2.11,1.89,0.56,1.24,0.42,19.53,10.48,2.16,2.82,0.55,3.33,0.19
32,2004,山西,取水量,11.67,8.09,0.57,1.91,0.29,0.77,0.04,24.0,12.28,1.13,6.31,0.98,3.1,0.2
33,2004,山西,耗水量,10.07,7.44,0.52,1.3,0.26,0.51,0.04,18.45,10.32,0.95,4.12,0.48,2.38,0.2
34,2004,河南,取水量,27.87,20.48,0.82,4.03,0.4,1.63,0.51,29.15,16.18,1.87,6.77,0.4,3.25,0.68
35,2004,河南,耗水量,26.07,19.66,0.7,3.39,0.38,1.48,0.46,19.21,13.28,1.53,1.87,0.15,2.21,0.17
36,2004,山东,取水量,50.44,40.64,0.44,4.81,1.11,2.47,0.97,9.91,5.76,0.62,2.12,0.11,1.25,0.05
